commentText,Label
Banda apna 100 % best he,1
WE NEED THE KING MAKER  ---- NARENDRA MODI,1
Awesome... Banda apna Best hai,1
Best PM ever,1
RAHUL GANDHI LEFT THE CHAT,1
"what Congressi will make??? Is thr any quality in __,except being PAPPU??!!",1
BJP ZINDABAAD,1
Vote for modi jii vande matram,1
"Modi brand of india 
Youth  like him so much mr.  modi
Banda apna Best hai",1
Superb Bhai,1
best Hai�,1
Please make him more powerful.. plz Vote for him.. kyoki Banda Apna Best he,1
That's right!!,1
Nice!! ,1
How's the joshhh.... Top sir,1
"RANA PRATAP SING, BHAGWAN KRISHNA, ACHARYA CHANAKYA, CHATRAPATI SIVAJI AUR DR. APJ ABDUL KALAM KA MUXTURE HE MODIJI. 2019 MODI AGAIN. ISBAR ISLAMABAD ME RAM MANDIR BANEGA. JAI HIND🇮🇳🇮🇳🇮🇳🇮🇳",1
Only modi ,1
Namo again Fir again,1
best modi ji he. Jay hind.,1
Modi again,1
superbb rap!!!!,1
"Modi is best
Qki Banda Best Hai",1
love you love you love you,1
Modi is always best,1
Terrific,0
"One step towards development.....
The man who have transformed india...dekh lo jo namo ka virodh karte hai....banda apna Best hai...
Namo2k19",1
Love u modiji�and nice song,1
Loved it...Loved it...Loved it❤️👌👌👌👌❤️❤️,1
"Vote for Modi.Don't destroy our country, don't let the legion of doom come to power.",1
Best he,1
Boht hard bantaaaaaaaai..Best,1
Best he modi sir Best he always,1
Please vote for Amit Shah ji BIHAR KE SASARAM SEAT PLEASE CHEDI PASWAN  Ko HATAKAR DUSRA CANDIDATE KO SEAT DE,1
For All congress support.. its bitter truth...ab ki baar fir se modi sarakar..,1
Bhai awesome... full on high sir. JAI   HIND JAI NAMO... firse modi sarkar,1
Namo namo again,1
Love,1
Kya baat hai... Loved it ,1
Congress hit like ,1
Awesome we love Modi,1
Superb,1
Modi fan hit like,1
MODI  HAI  TO  MUMKIN HAI,1
awesome,1
Only Modi Ji How's the josh,1
Awesome,1
ultimate bhai ...,1
Yes ye banda best h,1
banda Best he brother,1
"1k dislike 😐 from pakistan nd pappu fan only 
Har har modi ghr ghr modi ",1
TAX used right :/,1
Amazing... Watched it 3 times in a row!!,1
Love Modi from nepal,1
Awesome,1
Only modi,1
Banda bahut Best hai,1
I expect 10M views of this video,1
Yeh Best nah yeh behenkar hai,1
Why would people dislike it?????? Well this song tells the truth.,1
Banda apna ijat se Best 😎😎😎😎😘hatsoff sir ...,1
Namo Best hai,1
I love  modi ji,1
Awsome,1
"awesome 
Jai hind",1
NAMO AGAIN �,1
Har har modi Ghar Ghar modii,1
NAMO AGAIN!,1
GOD OF HINDUSTAN...MODI🙇‍♀️,1
Bilkul Best..Banda bhaut Best hai😍😍,1
Modi again,1
Banda apna fake hai,0
Nice song bhai Best main Banda apna Best hai,1
Superb..,1
MODI JI Love You.😍,1
Please VOTE for BJP ,1
Wow .Best hai,1
Modi Is best pm,1
Superb..,1
Namo again,1
Best PM in the world 👌,1
Modi,1
Wow great song,1
Who is the singer?,1
Bahut Best hai,1
Namo again 2019 and Forever .. Nice creation .. Jai Ho Modi Sir 🙏🌹🇮🇳,1
Narendra modi is best,1
"Really nice songs 
Banda Best hai",1
Bhott Best ,1
"BJP - LIKE 
CONGRESS - COMMENT ✍️",1
I like modi but i don't like the lyrics much.....ending is cool,1
Only modi ,1
Best hai baanda,1
Youth already choosen there ideal !!!😊,1
Unlike wale Congress fan hai btw amazing song buddy🤘,1
awesome,1
Modi is best,1
V. Good bro,1
modi Best hai,1
Banda  apna best h.. love you sir,1
I support MoDi,1
Best leader of this era Modiji u r the best😊,1
"India is getting modern... Promotion for election is also getting cool..love this...
Thanks NaMo",1
Banda apna wrong  he,0
Namo again,1
960  dislikers r Pappu supporter 😂,1
Good bhai,1
Superb song,1
love your rap,1
Modi ji. Mr prime minister Sir if you are Best then why you're scared of black foot wears so much your security make even a kid take his shoes off in such a winter if you say that pakode wala earns is an employee why he has to give a big amount of his income to a law enforcement person in black. JAI HIND.  JAI BHARAT. BHARAT MATA ki JAI.  Vande matram,1
Superb I luv uuuuuuu,1
I am a big fan of the modi,1
Education system ke liya kutch kijiya modi ji.Jis din woh Best ho gaya toh kutch aur krne ji jaruat hi hai har cheez mai INDIA AAGE RAHE GA PLZ,1
best pm,1
Cringe,1
great ... looking forward for more tracks ....,1
Mr perfect modi ji,1
Banda ek dum Best h,1
Fantastic  song,1
Only modi,1
Har har Modi,1
Narendra modi jondabad,1
Best pm,1
Namo again,1
Bjp jindabad,1
I am a Modi supporter but Not impressed by this song! Not a lit song,1
Who is the watching this video after air strike... Narendra modi fans hit like 🙏🙏🙏🙏,1
Proud to be a BJP and NAMO Supporter and Karyakarta 😃😄,1
Awesome dude,1
again Modi Sarkar...☺,1
Love you modi jee,1
I love modi,1
"Superb bhaio
NAMO AGAIN FOREVER",1
The Perfect PM of Indian,1
Banda apna Best hai...Namo again ,1
2019 to 2034 only BJP ONLY Modi,1
Har har modi,1
All love to modi sir ,1
Best Best hai apna  prime minister Modi hi Best 😎😎🇮🇳🇮🇳jai hind😎😎,1
