commentText,Label
Modi ji super,0
"You were fool, you are fool and you will be fool",0
Rahul fool,0
Rahul is best as PM,1
Rahul Gandhi theif  he,0
Fuck rahul,0
Comedy Rahul,0
Rahul fool,0
Modi's time is over,1
Modi does not deserve that hug...,0
"Moodi kamzrf insan h
Rahol Gandhi respected person",1
modi again,0
Bjp,0
Rahul gandhi shameless,0
Rahul Rockzzzzz,1
Modi g ka comparison koi nhi kr sakta.,0
Joker,0
"Modi is an arrogant leader ,chaiwalaa.
Divorsed his wife and saying he is not married,shameless creature.
Noe dollar is 72 ,thats what BJP made our economy 10 years back.
BJP worst party in history of India",1
Dislike from congress,1
Bhai Rahul ji...i am congress but now days I am changing to modi...not for bjp...only for modi ji...,0
why rahul gandhi  not rahul khan or rahul gandhi khan ???????????????????ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”,0
Modi ji best pm,0
Rahul ji apke bs ki rajniti nhi ..itli bhag jao..neta ke Nam pr to aap Rahul ho...hd h sala,0
"Rahul can,t become a pm ",0
Old modi is more energetic  than Rahul ðŸ¤£ðŸ¤£,0
Sabsa mast line bc Rahul Rahul,0
Modi bahau,0
Now I Cancel my Netflix pack because I got more enjoyment over here..ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
Ab tera Kya hoga Rahul?,0
"Rahul Gandhi react is so for than  priya variyar  
Jai hind  
Jai modiji  I think modi is only person have a good worker for our India in present",0
"Jab jab mood off hota is Pagal ki video ko dekh leta hu 
Mind refresh ho jata hai 
",0
wy people wants him to becomme a  PM ,0
Modi is best,0
Politics ki jagah comedy film karle bhai Rahul. Carrier ban jayega.,0
Rahut is best person,0
fool,0
Modi g great man,0
Modiji again,0
Real fool,0
Savage modi ji,0
Rahul vs Narendra Modi ji,0
Ghar ghar modi,0
Har har modi,0
Shitt to Rahul,0
Modi is best,0
Rahul fool,0
Rahul fool,0
"In Japan a train runs regularly for 12 school going children only. 
In India an entire party runs for a little boy only",0
This was hilarious!,0
WHAT WAS  THAT?,0
Modi zindabad,0
Good Rahul g,1
Modi modi again modi,0
Love you Modiji ,0
 you will be fool,0
fool,0
Parlament me ye sb hota h.‚ pata nhi ye desh kanha jayega..‚ laughter show bana kr rakh dya h..,0
great,1
Rahul Gandhi better option for pm not modi,1
"Wanna hear a joke?




""Rahul Gandhi""",0
